epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,2232.52,0.68673,0.53429,1.01875,0.89218,0.85241,0.94072,0.65858,0.95161,0.67979,1.36886,0.000194542,0.000194542,0.000194542
57,2267.04,0.67443,0.52458,1.01562,0.9144,0.84813,0.92823,0.64407,0.91675,0.68548,1.30123,0.000187572,0.000187572,0.000187572
58,2301.52,0.67993,0.5372,1.03278,0.8491,0.89458,0.91859,0.65512,0.92037,0.65855,1.32064,0.000180644,0.000180644,0.000180644
59,2336.03,0.67884,0.53303,1.01813,0.82504,0.89462,0.92844,0.64927,0.95761,0.6765,1.34008,0.000173764,0.000173764,0.000173764
60,2370.66,0.68525,0.53235,1.02062,0.89226,0.89318,0.93025,0.64997,0.92083,0.66083,1.31349,0.000166939,0.000166939,0.000166939
61,2405.23,0.66209,0.51677,1.01388,0.93466,0.86588,0.93931,0.65683,0.94794,0.67142,1.33702,0.000160177,0.000160177,0.000160177
62,2439.67,0.65981,0.50762,1.01114,0.94439,0.8681,0.95292,0.67526,0.94416,0.6116,1.33297,0.000153483,0.000153483,0.000153483
63,2474.08,0.64631,0.51312,1.00988,0.9147,0.91223,0.93999,0.64469,0.93189,0.64433,1.3288,0.000146864,0.000146864,0.000146864
64,2508.66,0.65349,0.51071,1.016,0.90697,0.89883,0.9373,0.66498,0.93792,0.62766,1.31676,0.000140327,0.000140327,0.000140327
65,2542.98,0.66273,0.51523,1.01305,0.85985,0.90322,0.94402,0.65809,0.91299,0.60499,1.31168,0.000133879,0.000133879,0.000133879
66,2577.4,0.64964,0.49205,1.00751,0.92815,0.88278,0.94417,0.65123,0.90533,0.62532,1.31783,0.000127525,0.000127525,0.000127525
67,2611.74,0.6221,0.5017,0.99949,0.90593,0.88257,0.91789,0.64501,0.93193,0.62649,1.36595,0.000121272,0.000121272,0.000121272
68,2646.01,0.63898,0.48735,0.9978,0.92632,0.88467,0.9325,0.65318,0.91623,0.63237,1.31745,0.000115126,0.000115126,0.000115126
69,2680.37,0.6161,0.48107,0.99633,0.90758,0.90594,0.94163,0.66049,0.9115,0.59357,1.32826,0.000109093,0.000109093,0.000109093
70,2714.58,0.63113,0.48356,0.99841,0.89654,0.92295,0.94027,0.65135,0.94118,0.61656,1.34087,0.00010318,0.00010318,0.00010318
71,2748.87,0.62795,0.473,0.99948,0.92221,0.89781,0.93817,0.65762,0.92387,0.60252,1.34306,9.73911e-05,9.73911e-05,9.73911e-05
72,2783.17,0.61073,0.46592,0.98831,0.89365,0.89425,0.94123,0.65563,0.93066,0.58389,1.36026,9.1733e-05,9.1733e-05,9.1733e-05
73,2817.43,0.61367,0.47816,0.98939,0.9214,0.90665,0.94043,0.6638,0.91282,0.60438,1.35427,8.62112e-05,8.62112e-05,8.62112e-05
74,2851.5,0.6217,0.46822,0.99503,0.91813,0.90527,0.94821,0.66249,0.92319,0.59609,1.34198,8.0831e-05,8.0831e-05,8.0831e-05
75,2885.72,0.61244,0.45797,0.99499,0.90701,0.90117,0.94433,0.66782,0.93098,0.59228,1.34688,7.55979e-05,7.55979e-05,7.55979e-05
76,2920.02,0.61159,0.4587,0.98945,0.91849,0.90165,0.94962,0.6649,0.93241,0.61471,1.3509,7.05169e-05,7.05169e-05,7.05169e-05
77,2954.33,0.60022,0.45541,0.98901,0.91448,0.90381,0.9506,0.67851,0.92154,0.60332,1.34281,6.5593e-05,6.5593e-05,6.5593e-05
78,2988.56,0.60286,0.44807,0.988,0.92207,0.90881,0.94186,0.66108,0.92957,0.60344,1.36593,6.08312e-05,6.08312e-05,6.08312e-05
79,3022.67,0.59927,0.44882,0.98766,0.92305,0.9244,0.94456,0.66502,0.92748,0.59573,1.34429,5.62362e-05,5.62362e-05,5.62362e-05
80,3056.79,0.5926,0.44634,0.98286,0.92396,0.94267,0.954,0.67793,0.91404,0.57994,1.34287,5.18123e-05,5.18123e-05,5.18123e-05
81,3090.99,0.6016,0.46207,0.99286,0.92311,0.91963,0.94751,0.66383,0.90353,0.5903,1.32123,4.75641e-05,4.75641e-05,4.75641e-05
82,3125.22,0.60443,0.45329,0.98314,0.93584,0.91968,0.9475,0.6679,0.91057,0.58416,1.35025,4.34958e-05,4.34958e-05,4.34958e-05
83,3159.72,0.59401,0.44508,0.97936,0.93922,0.90996,0.94622,0.671,0.89819,0.58073,1.32301,3.96112e-05,3.96112e-05,3.96112e-05
84,3193.99,0.5871,0.44342,0.97374,0.93073,0.91508,0.93839,0.66313,0.9027,0.582,1.33595,3.59144e-05,3.59144e-05,3.59144e-05
85,3228.14,0.57996,0.44235,0.98372,0.93552,0.93126,0.94073,0.6644,0.90722,0.59048,1.335,3.24088e-05,3.24088e-05,3.24088e-05
86,3262.27,0.58399,0.4318,0.9776,0.93478,0.93071,0.94597,0.66323,0.91671,0.59081,1.34808,2.90981e-05,2.90981e-05,2.90981e-05
87,3296.62,0.58457,0.43968,0.98175,0.92914,0.93164,0.94757,0.66451,0.91666,0.58262,1.34949,2.59853e-05,2.59853e-05,2.59853e-05
88,3330.74,0.58023,0.44675,0.97935,0.93604,0.9211,0.94307,0.66063,0.92269,0.5874,1.35548,2.30737e-05,2.30737e-05,2.30737e-05
89,3365.01,0.58561,0.43201,0.9786,0.93031,0.92667,0.9411,0.65886,0.91599,0.58758,1.35781,2.03661e-05,2.03661e-05,2.03661e-05
90,3398.99,0.56392,0.42683,0.96499,0.92126,0.91926,0.94357,0.66683,0.91508,0.58859,1.35392,1.78651e-05,1.78651e-05,1.78651e-05
91,3491.52,0.53519,0.34098,0.94833,0.92316,0.91614,0.94548,0.65052,0.93588,0.60124,1.37293,1.55733e-05,1.55733e-05,1.55733e-05
92,3524.06,0.51888,0.33422,0.94662,0.93395,0.93377,0.94697,0.65748,0.92746,0.58906,1.36382,1.34929e-05,1.34929e-05,1.34929e-05
